File Length , Non-Buffered Time Taken (ns)
68100 , 137133917
68200 , 139859823
68300 , 139270037
68400 , 140152225
68500 , 140262998
68600 , 150549893
68700 , 141349903
68800 , 140545643
68900 , 140543096
69000 , 139538327
69100 , 140019404
69200 , 139942620
69300 , 140181609
69400 , 142383900
69500 , 141441141
69600 , 141456755
69700 , 142431376
69800 , 142597666
69900 , 142146404
70000 , 143755548
70100 , 143595381
70200 , 143515085
70300 , 143314742
70400 , 145208359
70500 , 142791141
70600 , 143449780
70700 , 142225861
70800 , 144102256
70900 , 144120574
71000 , 145694408
71100 , 144940153
71200 , 145481769
71300 , 145161936
71400 , 145666907
71500 , 147018654
71600 , 147113573
71700 , 147696079
71800 , 147363089
71900 , 146861220
72000 , 147022897
72100 , 145651479
72200 , 147561684
72300 , 146073602
72400 , 146531912
72500 , 149417654
72600 , 148358279
72700 , 147166029
72800 , 148170003
72900 , 147853668
73000 , 149375900
73100 , 149329282
73200 , 150661589
73300 , 148807775
73400 , 149768528
73500 , 150595143
73600 , 149877373
73700 , 149564380
73800 , 151115479
73900 , 153518654
74000 , 150192826
74100 , 150021277
74200 , 151519729
74300 , 150201280
74400 , 151652504
74500 , 152265703
74600 , 153322718
74700 , 151109667
74800 , 151935584
74900 , 152068389
75000 , 152677617
75100 , 151498048
75200 , 153634223
75300 , 153564496
75400 , 154613267
75500 , 153197488
75600 , 153037687
75700 , 152966072
75800 , 154722801
75900 , 153322708
76000 , 155546903
76100 , 155203285
76200 , 157121762
76300 , 155245329
76400 , 156155761
76500 , 155523619
76600 , 156657079
76700 , 156112942
76800 , 158427894
76900 , 156504613
77000 , 157729423
77100 , 156590207
77200 , 155714709
77300 , 156437220
77400 , 157789553
77500 , 156140690
77600 , 158022122
77700 , 157650903
77800 , 158690190
77900 , 158514071
78000 , 192294968
78100 , 177920542
78200 , 193900026
78300 , 215587020
78400 , 160212634
78500 , 158457728
78600 , 162067699
78700 , 174858273
78800 , 175709235
78900 , 161843314
79000 , 163202113
79100 , 162458375
79200 , 164232162
79300 , 162830373
79400 , 163448742
79500 , 163205305
79600 , 163625693
79700 , 162703435
79800 , 165026425
79900 , 163697098
80000 , 165776138
80100 , 164162291
80200 , 164038242
80300 , 161640943
80400 , 171711306
80500 , 165131827
80600 , 171290003
80700 , 163665577
80800 , 163925811
80900 , 164485347
81000 , 165920771
81100 , 164464482
81200 , 165801053
81300 , 165082635
81400 , 164224779
81500 , 164597282
81600 , 167961661
81700 , 167685289
81800 , 165951770
81900 , 167129205
82000 , 165573258
82100 , 168718333
82200 , 168239316
82300 , 167381865
82400 , 167966119
82500 , 167606526
82600 , 168368657
82700 , 168768294
82800 , 171457238
82900 , 175267549
83000 , 169154829
83100 , 170022988
83200 , 175966931
83300 , 169819425
83400 , 170711627
83500 , 168762382
83600 , 171043697
83700 , 169489703
83800 , 170368336
83900 , 170855167
84000 , 172358465
84100 , 170916746
84200 , 170615016
84300 , 170048791
84400 , 170825683
84500 , 170747794
84600 , 174248694
84700 , 174673998
84800 , 175556652
84900 , 174181435
85000 , 174960323
85100 , 174713633
85200 , 173316409
85300 , 172023662
85400 , 173356048
85500 , 174791918
85600 , 175051364
85700 , 174655545
85800 , 174196654
85900 , 175249405
86000 , 175507873
86100 , 174668935
86200 , 176452100
86300 , 175842080
86400 , 175422773
86500 , 175358031
86600 , 176598837
86700 , 175338004
86800 , 177199789
86900 , 179836531
87000 , 179702404
87100 , 178212181
87200 , 179746396
87300 , 185665931
87400 , 177110286
87500 , 178424290
87600 , 183525283
87700 , 178886326
87800 , 176858052
87900 , 180509265
88000 , 180423142
88100 , 179831640
88200 , 179834799
88300 , 180869002
88400 , 180572820
88500 , 182156971
88600 , 180481689
88700 , 183732946
88800 , 180880912
88900 , 180523485
89000 , 181396938
89100 , 184327383
89200 , 183941731
89300 , 184056322
89400 , 183675185
89500 , 183984519
89600 , 185232509
89700 , 183924151
89800 , 185316316
89900 , 185237936
90000 , 183741928
90100 , 183412041
90200 , 184042631
90300 , 185787191
90400 , 184370665
90500 , 182134004
90600 , 184049257
90700 , 185674571
90800 , 183033841
90900 , 181778043
91000 , 182211126
91100 , 182525213
91200 , 185261824
91300 , 186752098
91400 , 184923483
91500 , 186160017
91600 , 186215792
91700 , 186202246
91800 , 188239547
91900 , 187198148
92000 , 187591594
92100 , 188074038
92200 , 188830598
92300 , 189965022
92400 , 187190699
92500 , 187274178
92600 , 187864245
92700 , 186348991
92800 , 186657570
92900 , 187743066
93000 , 187955917
93100 , 189556338
93200 , 189584827
93300 , 189801263
93400 , 190199015
93500 , 196815271
93600 , 189401263
93700 , 189833415
93800 , 190745341
93900 , 191666556
94000 , 194323276
94100 , 190942165
94200 , 190717608
94300 , 192915414
94400 , 194067409
94500 , 192581545
94600 , 193713349
94700 , 193646770
94800 , 194058114
94900 , 194320807
95000 , 195622513
95100 , 193896309
95200 , 200171528
95300 , 193059881
95400 , 192387939
95500 , 193836035
95600 , 195009951
95700 , 197175239
95800 , 192867044
95900 , 193088215
96000 , 194180215
96100 , 193562456
96200 , 196393678
96300 , 196499757
96400 , 195202995
96500 , 194209296
96600 , 197776396
96700 , 197407645
96800 , 197223571
96900 , 198135785
97000 , 199337522
97100 , 197682742
97200 , 197329589
97300 , 197545958
97400 , 198088863
97500 , 196960985
97600 , 196918206
97700 , 196701630
97800 , 199166018
97900 , 198808956
98000 , 197439105
98100 , 197504714
98200 , 197871980
98300 , 198650110
98400 , 198270185
98500 , 199430981
98600 , 198233345
98700 , 199070083
98800 , 199374302
98900 , 199045701
99000 , 200538298
99100 , 203186246
99200 , 201288205
99300 , 201109847
99400 , 201152151
99500 , 204300175
99600 , 203550329
99700 , 201880055
99800 , 202689796
99900 , 203734956
100000 , 205494902
100100 , 204461338
100200 , 204446228
100300 , 204732967
100400 , 204239381
100500 , 204149807
100600 , 203190432
100700 , 205303422
100800 , 209158717
100900 , 204256540
101000 , 205883290
101100 , 204915510
101200 , 205158883
101300 , 205279528
101400 , 205196204
101500 , 207864402
101600 , 206898431
101700 , 209347653
101800 , 206922386
101900 , 207908582
102000 , 208000545
102100 , 208529028
102200 , 212216300
102300 , 207821810
102400 , 208638020
102500 , 208006812
102600 , 209253031
102700 , 209727926
102800 , 211206963
102900 , 211415069
103000 , 211723160
103100 , 210862821
103200 , 208584802
103300 , 209175966
103400 , 209547544
103500 , 210346946
103600 , 210728802
103700 , 209582723
103800 , 213025199
103900 , 211678611
104000 , 212137654
104100 , 211650374
104200 , 210125695
104300 , 223972787
104400 , 212032904
104500 , 211397627
104600 , 212148359
104700 , 213082407
104800 , 214021241
104900 , 211961308
105000 , 212226384
105100 , 212131537
105200 , 214026169
105300 , 217012833
105400 , 215593537
105500 , 215779287
105600 , 216016247
105700 , 221235470
105800 , 214883890
105900 , 216687644
106000 , 217166207
106100 , 218922608
106200 , 218540911
106300 , 218539476
106400 , 220951037
106500 , 215534337
106600 , 218353127
106700 , 218333789
106800 , 219145161
106900 , 219204018
107000 , 222132378
107100 , 218606081
107200 , 217418569
107300 , 219403359
107400 , 220355066
107500 , 222273271
107600 , 222126864
107700 , 221890471
107800 , 220642163
107900 , 220268295
108000 , 221122203
108100 , 220207816
