File Length , Non-Buffered Time Taken (ns)
27700 , 39142609
157300 , 149722250
55800 , 56514188
65600 , 66792521
114400 , 103967849
78700 , 82808040
129600 , 127955827
64200 , 73086706
141800 , 142453898
55200 , 51248803
91100 , 87709322
33100 , 41149129
185100 , 179364021
72200 , 67735906
97800 , 90904169
5700 , 18813383
7300 , 11034040
124200 , 124287323
113000 , 108739319
128700 , 126592056
31600 , 35683963
74700 , 73649137
72900 , 68176708
125900 , 124689342
32300 , 42833311
25400 , 33763765
2900 , 11613658
186400 , 171084047
169800 , 155863895
115900 , 111451692
156300 , 144496446
86700 , 85977792
31300 , 35345582
50100 , 57733048
141900 , 142640129
155800 , 152253326
27300 , 31875638
128100 , 125049945
18200 , 31350884
63900 , 71865054
38500 , 40049721
187400 , 248562645
93400 , 99129641
197800 , 187334797
104600 , 102061039
24700 , 26047914
92200 , 88923806
167200 , 160125045
172000 , 158145357
112400 , 112286468
143800 , 132101637
144800 , 162245883
39700 , 51521378
8100 , 20377682
116100 , 115702470
104400 , 100429788
22400 , 29266102
161400 , 155071021
158900 , 155793859
165500 , 155551733
153200 , 161346178
95100 , 98299372
195900 , 177417486
117000 , 113720292
135700 , 134205029
122700 , 120116230
16600 , 20483686
172500 , 164896341
155400 , 142151838
148300 , 140205657
147400 , 138282389
95700 , 98439255
122200 , 120753249
20400 , 24090752
70700 , 70151550
167400 , 157780766
93000 , 93286933
50800 , 56870721
141500 , 133002712
36500 , 49444631
81900 , 82025400
58900 , 65727504
181300 , 174509861
21700 , 29558999
129700 , 133411315
113500 , 115403066
143000 , 141932594
116800 , 115487366
76100 , 77989615
161600 , 156647073
48300 , 50993099
37100 , 43986601
27500 , 35180995
28900 , 35529616
197400 , 190801237
27000 , 37433435
29100 , 32599818
43100 , 53061832
152300 , 155680704
138000 , 195671575
20500 , 52785395
8900 , 21387516
154300 , 151762931
168100 , 152753712
10400 , 26067783
145500 , 139805885
177200 , 177737597
12400 , 20371160
150300 , 155359626
37700 , 41287527
174700 , 170073474
160400 , 152604212
151100 , 149831228
192300 , 185409894
4600 , 15481827
22900 , 34216501
178100 , 171543998
53900 , 78051451
103200 , 103838587
182000 , 174900966
27600 , 31000575
166500 , 163331424
32600 , 51191970
23000 , 59562575
144200 , 138373896
116900 , 109413585
115200 , 104334393
61600 , 66959340
99600 , 92978585
91300 , 96109740
102000 , 105254187
34000 , 47572662
57900 , 68689801
45800 , 57061155
189800 , 179222023
174200 , 159058671
146200 , 138153639
184300 , 174017231
26000 , 58381617
124500 , 117349357
78500 , 77612227
10700 , 16672272
157500 , 157344223
131900 , 130852246
177700 , 175404241
30000 , 38454238
20800 , 30374091
199200 , 185936869
69600 , 81575628
51400 , 57025913
86400 , 91082610
119300 , 112598400
4000 , 10051926
43000 , 49802670
78200 , 81974311
40700 , 50087030
191300 , 183202131
19600 , 26325519
37800 , 42480397
53600 , 52421984
147200 , 142789756
175500 , 168136488
183400 , 171430262
95400 , 99284039
188500 , 178415413
195400 , 178085453
61400 , 57059995
103400 , 101367491
41200 , 48899096
93700 , 91986321
45500 , 54276269
46300 , 40766058
2100 , 7709200
46000 , 57239800
124900 , 122640833
141000 , 131083445
6000 , 9578461
101500 , 105500123
98700 , 91188339
194100 , 178136001
185500 , 171145143
105600 , 101491796
117600 , 109947955
173900 , 159433823
117700 , 113865516
8000 , 21879544
196300 , 180059765
163800 , 150891826
162800 , 151786871
108400 , 111179292
32700 , 43463484
157000 , 141411534
169400 , 163726588
98900 , 105365569
38400 , 51107781
4100 , 15179648
191900 , 182527432
50300 , 57012850
167100 , 159564785
25800 , 33348347
58800 , 66510187
137200 , 129064093
116400 , 117719060
94900 , 91483183
103600 , 102225405
176200 , 164431837
27400 , 39968913
42200 , 50150378
42000 , 48590177
164300 , 156308513
98200 , 96899205
108600 , 110842364
120000 , 117557129
118900 , 106943103
146800 , 136450319
106400 , 106746691
37500 , 42932651
134500 , 133564040
40100 , 45298393
196900 , 185597486
107600 , 102269491
74500 , 100423196
13800 , 19937629
180600 , 180275085
162700 , 151563939
111200 , 108611413
41100 , 51070792
112600 , 109430363
142300 , 130064206
9200 , 18202487
182200 , 166554347
116500 , 109011941
15100 , 26340143
121100 , 122560824
94700 , 96061427
190900 , 180213182
191000 , 169078673
139300 , 135287824
3800 , 13109067
140700 , 138165460
91800 , 91556747
26100 , 35957914
149400 , 144460632
14000 , 23874726
178000 , 173527130
168000 , 152746516
35600 , 37470712
137400 , 131673747
68100 , 71756612
700 , 6766008
73900 , 82222766
189900 , 172695451
185200 , 172498858
70000 , 79407902
193700 , 179249737
29900 , 35270041
158400 , 147366991
72800 , 79436741
153300 , 145891329
90600 , 92349000
13000 , 24288908
175600 , 167378598
197200 , 195399480
98400 , 91744539
93500 , 91759563
93200 , 91334215
88700 , 85296825
90200 , 91486034
170400 , 180124519
23100 , 28262687
91000 , 92976300
21100 , 32079965
169500 , 160975891
139500 , 128887550
121600 , 119789897
138400 , 130099528
7800 , 12718683
130800 , 134572937
85500 , 91328054
72400 , 72284483
157100 , 150028243
126400 , 124986910
176100 , 163133359
130400 , 124933973
158100 , 153069929
62600 , 68751129
82800 , 79500594
198100 , 179487591
33600 , 74005952
25700 , 68397389
188100 , 181197794
400 , 6080608
72700 , 71865663
28500 , 30061062
15700 , 25410995
153800 , 142404503
88500 , 94303900
96000 , 90745821
37300 , 42733702
61300 , 75269276
45900 , 47125025
182800 , 176237616
119100 , 114705511
169600 , 163449749
149000 , 146086700
117800 , 110549922
188400 , 173404117
42800 , 43035622
200 , 14665344
127500 , 128639022
69700 , 69556951
189200 , 171444593
91600 , 94705353
161900 , 157294640
179800 , 170572870
123500 , 153403855
51100 , 62413724
194300 , 186537654
84600 , 89657285
184000 , 166835079
152100 , 146179341
24500 , 28652861
69400 , 74589373
150200 , 138795674
47800 , 57614103
72100 , 74879363
59500 , 59228934
40400 , 46053472
190700 , 179874252
110200 , 103510213
132700 , 128907419
115700 , 108217726
28100 , 35454070
12100 , 16689700
109500 , 104485790
40500 , 50009221
80000 , 78079387
185900 , 168218871
119400 , 119232259
36000 , 65291242
124300 , 114213594
189000 , 171989169
184600 , 166345014
81100 , 82911704
101600 , 97816924
102900 , 94695896
59400 , 59544423
117200 , 116769197
160100 , 151524506
39000 , 45732022
160000 , 145787423
6100 , 12309832
142900 , 141232667
121000 , 118448319
95900 , 92946009
61000 , 63779020
88400 , 82019740
36600 , 43310745
119000 , 118326485
15000 , 28375637
19500 , 25103196
91400 , 91362295
126100 , 125681648
25600 , 33569265
110300 , 101810055
104200 , 105093632
42300 , 42494128
8500 , 18834072
31500 , 38478160
30900 , 35096393
127000 , 124996978
63400 , 68606108
155100 , 151126471
45100 , 51556982
124100 , 151538941
17300 , 33223821
109300 , 111685967
72000 , 76846513
81500 , 76997189
71500 , 71102939
132200 , 126101135
51700 , 49579081
4800 , 18922133
61200 , 69436861
48100 , 54361976
96500 , 90178777
44300 , 51570389
138600 , 142144929
101300 , 95907684
12200 , 22798747
35000 , 36608070
38800 , 39636923
177500 , 165431802
114500 , 110422019
11100 , 21186656
187900 , 177828476
29500 , 32319961
39200 , 45799556
2700 , 8814448
30200 , 33765380
60300 , 59230148
30100 , 37960391
121200 , 114688934
30600 , 55913190
45000 , 52275824
78300 , 79832034
133200 , 127326879
37400 , 45719954
63100 , 64037686
67600 , 72124936
172600 , 158565541
58300 , 62833004
65700 , 67991039
67900 , 65079903
1200 , 14194081
53500 , 60003659
