File Length , Non-Buffered Time Taken (ns)
120600 , 110827385
24400 , 29035044
65500 , 72393482
165000 , 158589116
55100 , 56346277
115000 , 108278146
44500 , 51198429
34900 , 44483707
125000 , 119783879
175200 , 166453616
197300 , 183471221
17000 , 31423806
114700 , 110564366
28000 , 37146879
129100 , 129691848
19000 , 25251686
67800 , 66836546
20200 , 29848074
59600 , 59129311
143900 , 134848495
88600 , 90034141
67100 , 69155428
54600 , 57057304
115100 , 114925507
14300 , 27506150
22000 , 36516460
182500 , 197688588
75300 , 96814077
188200 , 188799176
124700 , 131966064
82300 , 83876089
86500 , 77987404
26300 , 35642192
34200 , 40402424
10800 , 13704704
135200 , 127634817
171800 , 164104862
159000 , 152811222
84000 , 89190980
67000 , 67326663
48400 , 51970710
71600 , 73576423
107000 , 110930081
56600 , 62269151
157700 , 145893141
20600 , 22717360
69500 , 66872974
137300 , 136154553
49100 , 60891817
98800 , 109922080
71100 , 71895626
183300 , 171804786
134800 , 134194026
101700 , 102540827
180000 , 172477238
58200 , 64422144
151200 , 140594322
3700 , 15171199
5000 , 16013137
105500 , 98099733
150600 , 145614144
62000 , 63500469
158700 , 151641831
176300 , 186657609
90800 , 95494171
193100 , 180028237
15800 , 23666965
14800 , 20811840
12500 , 22893324
133800 , 129210794
185300 , 172633104
29700 , 36391077
166600 , 154165663
1900 , 9828695
193800 , 176276498
198600 , 181716143
122000 , 120370207
100700 , 144211673
160800 , 149308740
189300 , 172257281
72600 , 94404106
55000 , 59188315
136900 , 130208456
198000 , 201411995
87300 , 86205872
76900 , 80050168
18100 , 27154616
157800 , 150311210
123400 , 121386774
155300 , 152131683
60700 , 66767000
148900 , 140036877
151300 , 152062279
10500 , 33275494
136600 , 161673447
12300 , 20115887
122400 , 118050108
158600 , 154938261
86100 , 88510446
139600 , 141082678
41900 , 44444091
134000 , 126329243
7500 , 11723515
51200 , 56424031
66900 , 69619640
162600 , 149400589
96200 , 98230583
187300 , 180509175
141200 , 134921003
140400 , 170951061
55900 , 61938378
147500 , 145552407
43500 , 53051841
100100 , 104378651
167800 , 150989065
135500 , 183966061
36900 , 41962817
142000 , 137827356
197600 , 185150300
39100 , 44375117
55300 , 108828837
133600 , 141004189
22600 , 28957938
89200 , 87813279
181200 , 164307268
109700 , 106224028
13600 , 18665532
63500 , 66617133
97100 , 92930535
116600 , 117183251
171100 , 166672092
73600 , 74441646
118600 , 112515120
54900 , 60351104
126300 , 124994386
75500 , 74782346
117900 , 113267195
46600 , 44437155
59300 , 64197122
108300 , 103684900
175100 , 170826050
129200 , 132183869
142100 , 143686882
75100 , 84919076
85600 , 83759933
147100 , 145678148
8700 , 12828411
26700 , 37923826
200000 , 198641621
141300 , 131568360
101200 , 100539056
44000 , 49128194
176800 , 161676441
97500 , 100807346
177300 , 166176679
129300 , 119086878
190600 , 180698022
13400 , 33925632
70500 , 68290922
21900 , 34545669
132100 , 125599384
101800 , 96645769
73800 , 70455123
174600 , 164079745
78100 , 107811679
2400 , 15632501
18600 , 26948333
16900 , 26267449
138900 , 135435224
165600 , 153483165
44100 , 50864071
41800 , 44636181
36200 , 37023264
195100 , 182902985
59000 , 72624385
181100 , 169991919
124000 , 124622901
153400 , 143438608
84800 , 88756007
68600 , 72279949
162300 , 150565613
96900 , 94834880
22200 , 26114465
146500 , 141487252
62300 , 68835604
181700 , 176003657
31000 , 37897429
14600 , 22601956
130200 , 140765928
125100 , 121342460
154700 , 147820237
186000 , 175283004
183200 , 170951991
96100 , 86827610
82400 , 85634356
154900 , 155108962
180800 , 166580530
63000 , 69239706
87000 , 92497928
199800 , 184288529
56800 , 59400213
72300 , 74691077
183000 , 166682262
83700 , 88022800
151500 , 144174422
186900 , 170339080
103800 , 110799565
48500 , 56771738
98600 , 94794301
79700 , 98338711
51300 , 106379613
175700 , 162408508
180500 , 221317512
91500 , 124672703
50500 , 56374776
170800 , 161469559
23600 , 56701869
87500 , 90088936
37600 , 207191649
134700 , 133100331
20000 , 28312951
151600 , 147293838
190000 , 170456035
52100 , 57448204
139900 , 137215846
104000 , 101081133
152700 , 147172471
3100 , 9448917
180400 , 167702091
103700 , 103609110
6900 , 17430507
17500 , 28880764
113300 , 111249890
52600 , 56035327
140900 , 137423602
118400 , 117648214
158500 , 148154630
15500 , 25955311
17700 , 21184108
145400 , 133786160
23800 , 35851725
9900 , 19565772
32200 , 35834465
145000 , 144869709
81200 , 86695471
137100 , 135779753
137600 , 133494731
186200 , 176838237
131000 , 161171416
120300 , 120370976
120800 , 111391548
71300 , 70984580
26500 , 38544584
27800 , 25219753
190300 , 180086073
25200 , 27770473
110500 , 108170526
7200 , 30651280
9500 , 23042877
77500 , 75634051
31800 , 39531386
54200 , 62500486
163000 , 155468303
11600 , 17957894
53300 , 59997611
150400 , 160473572
109900 , 100233660
179400 , 164186547
193200 , 180664855
187100 , 178378869
158800 , 146769039
22700 , 34133383
182900 , 169949316
35100 , 49974930
116300 , 117057780
114200 , 123505777
100300 , 104311979
87900 , 88694125
106500 , 104642609
135400 , 134495477
179100 , 169092837
113600 , 104468667
187700 , 174719307
37200 , 40124433
42600 , 44505550
194800 , 180612424
148000 , 138998027
179200 , 165058129
47500 , 46904767
57300 , 64012397
31900 , 40713880
5300 , 16959345
69900 , 66784089
131400 , 130601930
28300 , 31136752
140000 , 140674122
112900 , 115168958
17200 , 24501886
174000 , 164581332
106700 , 108500068
23700 , 32236646
150500 , 142737642
85400 , 86741430
198700 , 223082793
48700 , 61305124
72500 , 67564525
34300 , 49799861
11500 , 18186413
101100 , 101271770
129900 , 167786618
98100 , 94484895
84700 , 80612067
140300 , 133153513
142200 , 130140751
77100 , 78435940
187000 , 174394921
170500 , 203967708
106800 , 279893781
114100 , 131647644
137900 , 130094713
89900 , 87198656
53400 , 58256313
189600 , 181579562
102200 , 97008269
58000 , 59697919
161200 , 150444976
88000 , 88791502
197100 , 180391053
88300 , 79562669
40000 , 49960965
184800 , 177666996
32100 , 43864081
14500 , 24168438
100000 , 93386175
193900 , 178940067
170300 , 154697122
190200 , 181807397
121400 , 121899466
67200 , 68332645
175900 , 165215722
121800 , 121913027
153500 , 153432338
17600 , 29354380
132300 , 123933450
38200 , 43526320
89700 , 96183786
95300 , 93151206
183800 , 168805441
127100 , 118770763
119500 , 128144924
19700 , 35576736
140600 , 137539527
155200 , 152541611
37900 , 110589927
178600 , 172489474
84100 , 124822065
166100 , 160639729
64700 , 73392774
124400 , 126153475
144400 , 148004279
4300 , 8410314
6700 , 37143037
104900 , 109918209
90000 , 86981389
132800 , 127038348
150100 , 142941488
134400 , 140091433
90400 , 84455219
30800 , 48432700
29400 , 35895992
85300 , 90324460
149300 , 150453420
165800 , 158885806
11000 , 23141622
31200 , 47382664
91200 , 100735164
92800 , 87486341
24600 , 40847299
173800 , 176182722
192500 , 189094295
27700 , 32992053
157300 , 153921744
55800 , 67608073
65600 , 77612915
114400 , 116492685
78700 , 78547855
129600 , 128016841
64200 , 106204267
141800 , 157311291
55200 , 57977865
91100 , 86932963
33100 , 40397967
185100 , 177822944
72200 , 75317351
97800 , 100293307
5700 , 14539159
7300 , 25370678
124200 , 120939001
113000 , 114173632
128700 , 136694651
31600 , 44702952
74700 , 79939120
72900 , 74128808
125900 , 125171639
32300 , 83643591
25400 , 32335691
2900 , 10685370
186400 , 179698435
169800 , 200540890
115900 , 124207944
156300 , 155264333
86700 , 88157688
31300 , 34789166
50100 , 61785791
141900 , 135906721
155800 , 145657119
27300 , 31330622
128100 , 126234723
18200 , 30087380
63900 , 73786227
38500 , 50364393
187400 , 184911014
93400 , 94933756
197800 , 182988175
104600 , 105017645
24700 , 36726836
92200 , 88674633
167200 , 161290692
172000 , 164359047
112400 , 110381130
143800 , 145138615
144800 , 131039118
39700 , 41755843
8100 , 9729385
116100 , 118478781
104400 , 98205083
22400 , 26812323
161400 , 159162765
