String Length , Time Taken (ns)
65900 , 317412172
66000 , 315718383
66100 , 314289843
66200 , 320264577
66300 , 320816135
66400 , 321367864
66500 , 323834265
66600 , 328416107
66700 , 326767163
66800 , 330130774
66900 , 326946669
67000 , 323844267
67100 , 326121865
67200 , 325838044
67300 , 327716358
67400 , 334525118
67500 , 332124241
67600 , 331209034
67700 , 333902995
67800 , 331074906
67900 , 340925667
68000 , 337264959
68100 , 336437205
68200 , 339563192
68300 , 334966997
68400 , 341139911
68500 , 341573327
68600 , 342635859
68700 , 341358074
68800 , 338439687
68900 , 343998566
69000 , 343311379
69100 , 350287709
69200 , 352528144
69300 , 353592688
69400 , 356292647
69500 , 370162059
69600 , 348264806
69700 , 350849560
69800 , 353811875
69900 , 350414397
70000 , 352577449
70100 , 369097788
70200 , 355151454
70300 , 360872064
70400 , 357300638
70500 , 361223904
70600 , 360532979
70700 , 372463835
70800 , 363077066
70900 , 364157459
71000 , 365990439
71100 , 366470985
71200 , 361052953
71300 , 371311618
71400 , 368112462
71500 , 377106553
71600 , 370827955
71700 , 376933623
71800 , 372338879
71900 , 372900262
72000 , 376800562
72100 , 378093208
72200 , 380317503
72300 , 379551096
72400 , 381391708
72500 , 382108842
72600 , 387977196
72700 , 386563502
72800 , 380051053
72900 , 393026721
73000 , 386181211
73100 , 392256869
73200 , 390539881
73300 , 389063295
73400 , 392621551
73500 , 393725803
73600 , 396390126
73700 , 401896969
73800 , 397848565
73900 , 400424315
74000 , 399770565
74100 , 404817900
74200 , 403694658
74300 , 400974299
74400 , 402401948
74500 , 400632515
74600 , 398504334
74700 , 404886941
74800 , 404280619
74900 , 414969393
75000 , 409081927
75100 , 405462296
75200 , 415289201
75300 , 413405893
75400 , 406147403
75500 , 411199424
75600 , 411581433
75700 , 417040420
75800 , 419929123
75900 , 424123205
76000 , 411454808
76100 , 419646349
76200 , 418518647
76300 , 421259082
76400 , 427781514
76500 , 421783148
76600 , 425725900
76700 , 426244670
76800 , 433437167
76900 , 424641607
77000 , 431934222
77100 , 430810746
77200 , 430327427
77300 , 431368992
77400 , 437196805
77500 , 439520728
77600 , 439793159
77700 , 438689651
77800 , 442219726
77900 , 441032543
78000 , 439472988
78100 , 449302233
78200 , 440984876
78300 , 438380171
78400 , 457414793
78500 , 447053373
78600 , 453874338
78700 , 457242280
78800 , 452006288
78900 , 454520284
79000 , 445794262
79100 , 460844273
79200 , 449473098
79300 , 452528198
79400 , 457003080
79500 , 457481184
79600 , 457727165
79700 , 456960874
79800 , 462361097
79900 , 464133476
80000 , 458388688
80100 , 464361857
80200 , 463351856
80300 , 467457350
80400 , 470047755
80500 , 469326198
80600 , 475244261
80700 , 466546993
80800 , 473236866
80900 , 478550221
81000 , 478695095
81100 , 472800490
81200 , 473710601
81300 , 485716308
81400 , 482243885
81500 , 488651875
81600 , 483087919
81700 , 484881363
81800 , 494304012
81900 , 491455922
82000 , 487357340
82100 , 490970715
82200 , 492458566
82300 , 491136342
82400 , 488977277
82500 , 495092000
82600 , 493015517
82700 , 497721588
82800 , 493466122
82900 , 513814182
83000 , 503219705
83100 , 496544778
83200 , 497811278
83300 , 495046145
83400 , 499574909
83500 , 517237330
83600 , 504025989
83700 , 503851194
83800 , 507958447
83900 , 512806921
84000 , 513740135
84100 , 508750021
84200 , 517739759
84300 , 514056178
84400 , 515493468
84500 , 514231521
84600 , 527608670
84700 , 522192967
84800 , 519601878
84900 , 524185290
85000 , 527786399
85100 , 523200244
85200 , 527064296
85300 , 530176100
85400 , 528335923
85500 , 531240799
85600 , 529625836
85700 , 535057323
85800 , 533323801
85900 , 542459542
86000 , 528493150
86100 , 535220522
86200 , 534359826
86300 , 540881823
86400 , 540001347
86500 , 545275669
86600 , 542006676
86700 , 545492902
86800 , 536388032
86900 , 548641815
87000 , 553436113
87100 , 551947385
87200 , 546876656
87300 , 551984128
87400 , 550699276
87500 , 546659752
87600 , 552142850
87700 , 559895845
87800 , 556892713
87900 , 571214081
88000 , 558249844
88100 , 561435656
88200 , 559566697
88300 , 563325993
88400 , 567731360
88500 , 565626338
88600 , 564699169
88700 , 569612719
88800 , 570427851
88900 , 583037752
89000 , 595377201
89100 , 614193589
89200 , 577938436
89300 , 573074166
89400 , 575818225
89500 , 572485160
89600 , 583992335
89700 , 583000391
89800 , 587583692
89900 , 585010648
90000 , 583445784
90100 , 584095741
90200 , 590484048
90300 , 598322052
90400 , 587341972
90500 , 596396066
90600 , 591388623
90700 , 592666645
90800 , 587142842
90900 , 589777078
91000 , 604181376
91100 , 596995689
91200 , 602716914
91300 , 609784879
91400 , 599464793
91500 , 610838269
91600 , 611594202
91700 , 607098901
91800 , 611269425
91900 , 613299492
92000 , 615030960
92100 , 612823603
92200 , 610976549
92300 , 613028200
92400 , 621224867
92500 , 617673555
92600 , 617386295
92700 , 625488735
92800 , 620602950
92900 , 635790954
93000 , 628886433
93100 , 629175820
93200 , 624404082
93300 , 626643601
93400 , 630597323
93500 , 627316178
93600 , 636440538
93700 , 633227739
93800 , 636994881
93900 , 638142459
94000 , 636189700
94100 , 633860289
94200 , 645549820
94300 , 641948331
94400 , 646518442
94500 , 641685345
94600 , 649882821
94700 , 651797736
94800 , 652081698
94900 , 649629501
95000 , 650229850
95100 , 661892128
95200 , 653513701
95300 , 655885136
95400 , 661698578
95500 , 663847282
95600 , 664185784
95700 , 659456090
95800 , 660429710
95900 , 661055638
96000 , 669194302
96100 , 665837525
96200 , 663848843
96300 , 679118049
96400 , 671552920
96500 , 682611587
96600 , 676585442
96700 , 667403677
96800 , 694651582
96900 , 670287533
97000 , 679518078
97100 , 676450005
97200 , 677179907
97300 , 674610212
97400 , 693151453
97500 , 675747462
97600 , 689951058
97700 , 695960268
97800 , 691594457
97900 , 692508771
98000 , 687714798
98100 , 687177666
98200 , 703298493
98300 , 689725060
98400 , 702952458
98500 , 695907638
98600 , 693509227
98700 , 700503420
98800 , 694389303
98900 , 705243731
99000 , 703892594
99100 , 703488632
99200 , 716527705
99300 , 706091907
99400 , 717968370
99500 , 713961069
99600 , 714313321
99700 , 719099982
99800 , 722651680
99900 , 715320658
100000 , 713574298
100100 , 724422727
100200 , 725926463
100300 , 727666815
100400 , 731467017
100500 , 747967331
100600 , 730086746
100700 , 724252283
100800 , 737422924
100900 , 731626703
101000 , 732783292
101100 , 734189769
101200 , 735458722
101300 , 726429091
101400 , 736105527
101500 , 741340219
101600 , 745024017
101700 , 740282896
101800 , 743938319
101900 , 747184201
102000 , 742208815
102100 , 749046854
102200 , 746826310
102300 , 756216401
102400 , 755808835
102500 , 754837020
102600 , 754508797
102700 , 754387948
102800 , 761954890
102900 , 756260987
103000 , 771019719
103100 , 772265361
103200 , 766404535
103300 , 767222877
103400 , 766370951
103500 , 778435722
103600 , 774626997
103700 , 773088401
103800 , 776347186
103900 , 771630136
104000 , 772040941
104100 , 781237185
104200 , 785387355
104300 , 784418552
104400 , 778449153
